更新时间: 2026-07-20 18:35:41（北京时间）

更新时间,#genre#
2026-07-20 18:35:41,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV5,http://180.158.97.153:9998/rtp/233.18.204.71:5140$上海市电信
CCTV5,http://220.184.214.138:9999/rtp/233.50.200.108:5140$浙江省电信
CCTV5,http://220.184.214.138:9999/rtp/233.50.201.194:5140$浙江省电信
CCTV5,http://222.141.237.151:8003/rtp/225.1.4.159:1195$河南省联通
CCTV5,http://27.10.78.144:8007/rtp/225.0.4.143:7980$重庆市联通
CCTV5,http://27.10.78.144:8008/rtp/225.0.4.143:7980$重庆市联通
CCTV5,http://27.10.78.144:8010/rtp/225.0.4.143:7980$重庆市联通
CCTV5,http://36.101.3.142:554/rtp/239.253.64.245:5140$海南省电信
CCTV5,http://39.77.159.145:4000/udp/239.253.254.192:8000$山东省联通
CCTV5+,http://112.255.235.152:4000/udp/239.253.254.80:8000$山东省联通
CCTV5+,http://118.79.119.170:8000/rtp/226.0.2.168:9256$山西省联通
CCTV5+,http://171.212.170.157:8088/rtp/239.94.0.19:5140$四川省电信
CCTV5+,http://171.212.170.157:8088/rtp/239.94.0.23:5140$四川省电信
CCTV5+,http://171.213.169.179:8899/rtp/239.94.0.19:5140$四川省电信
CCTV5+,http://171.213.169.179:8899/rtp/239.94.0.23:5140$四川省电信
CCTV5+,http://180.158.97.153:9998/rtp/233.18.204.67:5140$上海市电信
CCTV5+,http://220.184.214.138:9999/rtp/233.50.201.220:5140$浙江省电信
CCTV5+,http://27.10.78.144:8007/rtp/225.0.4.73:7980$重庆市联通
CCTV5+,http://27.10.78.144:8008/rtp/225.0.4.73:7980$重庆市联通
CCTV5+,http://27.10.78.144:8010/rtp/225.0.4.73:7980$重庆市联通
CCTV5+,http://36.101.3.142:554/rtp/239.253.64.100:5140$海南省电信
CCTV5+,http://39.77.159.145:4000/udp/239.253.254.80:8000$山东省联通
CCTV6,http://112.255.235.152:4000/udp/239.253.254.193:8000$山东省联通
CCTV6,http://115.58.50.183:7001/rtp/225.1.4.160:1196$河南省联通
CCTV6,http://118.79.119.170:8000/rtp/226.0.2.210:9592$山西省联通
CCTV6,http://171.212.170.157:8088/rtp/239.94.0.34:5140$四川省电信
CCTV6,http://171.212.170.157:8088/rtp/239.94.0.6:5140$四川省电信
CCTV6,http://171.212.170.157:8088/rtp/239.94.2.33:5140$四川省电信
CCTV6,http://171.213.169.179:8899/rtp/239.94.0.34:5140$四川省电信
CCTV6,http://171.213.169.179:8899/rtp/239.94.0.6:5140$四川省电信
CCTV6,http://171.213.169.179:8899/rtp/239.94.2.33:5140$四川省电信
CCTV6,http://180.158.97.153:9998/rtp/233.18.204.72:5140$上海市电信
CCTV6,http://220.184.214.138:9999/rtp/233.50.200.109:5140$浙江省电信
CCTV6,http://222.141.237.151:8003/rtp/225.1.4.160:1196$河南省联通
CCTV6,http://27.10.78.144:8007/rtp/225.0.4.144:7980$重庆市联通
CCTV6,http://27.10.78.144:8008/rtp/225.0.4.144:7980$重庆市联通
CCTV6,http://27.10.78.144:8010/rtp/225.0.4.144:7980$重庆市联通
CCTV6,http://36.101.3.142:554/rtp/239.253.64.246:5140$海南省电信
CCTV6,http://39.77.159.145:4000/udp/239.253.254.193:8000$山东省联通
CCTV7,http://112.255.235.152:4000/udp/239.253.254.233:8000$山东省联通
CCTV7,http://115.58.50.183:7001/rtp/225.1.4.76:1105$河南省联通
CCTV7,http://118.79.119.170:8000/rtp/226.0.2.159:9184$山西省联通
CCTV7,http://171.212.170.157:8088/rtp/239.94.0.7:5140$四川省电信
CCTV7,http://171.213.169.179:8899/rtp/239.94.0.7:5140$四川省电信
CCTV7,http://180.158.97.153:9998/rtp/233.18.204.73:5140$上海市电信
CCTV7,http://220.184.214.138:9999/rtp/233.50.200.102:5140$浙江省电信
CCTV7,http://222.141.237.151:8003/rtp/225.1.4.76:1105$河南省联通
CCTV7,http://27.10.78.144:8007/rtp/225.0.4.127:7980$重庆市联通
CCTV7,http://27.10.78.144:8008/rtp/225.0.4.127:7980$重庆市联通
CCTV7,http://27.10.78.144:8010/rtp/225.0.4.127:7980$重庆市联通
CCTV7,http://36.101.3.142:554/rtp/239.253.64.54:5140$海南省电信
CCTV7,http://39.77.159.145:4000/udp/239.253.254.233:8000$山东省联通
CCTV8,http://112.255.235.152:4000/udp/239.253.254.194:8000$山东省联通
CCTV8,http://115.58.50.183:7001/rtp/225.1.4.161:1197$河南省联通
CCTV8,http://118.79.119.170:8000/rtp/226.0.2.211:9600$山西省联通
CCTV8,http://171.212.170.157:8088/rtp/239.94.0.35:5140$四川省电信
CCTV8,http://171.212.170.157:8088/rtp/239.94.0.8:5140$四川省电信
CCTV8,http://171.212.170.157:8088/rtp/239.94.2.29:5140$四川省电信
CCTV8,http://171.213.169.179:8899/rtp/239.94.0.35:5140$四川省电信
CCTV8,http://171.213.169.179:8899/rtp/239.94.0.8:5140$四川省电信
CCTV8,http://171.213.169.179:8899/rtp/239.94.2.29:5140$四川省电信
CCTV8,http://180.158.97.153:9998/rtp/233.18.204.74:5140$上海市电信
CCTV8,http://220.184.214.138:9999/rtp/233.50.201.116:5140$浙江省电信
CCTV8,http://222.141.237.151:8003/rtp/225.1.4.161:1197$河南省联通
CCTV8,http://27.10.78.144:8007/rtp/225.0.4.137:7980$重庆市联通
CCTV8,http://27.10.78.144:8008/rtp/225.0.4.137:7980$重庆市联通
CCTV8,http://27.10.78.144:8010/rtp/225.0.4.137:7980$重庆市联通
CCTV8,http://36.101.3.142:554/rtp/239.253.64.247:5140$海南省电信
CCTV8,http://39.77.159.145:4000/udp/239.253.254.194:8000$山东省联通
CCTV9,http://112.255.235.152:4000/udp/239.253.254.79:8000$山东省联通
CCTV9,http://115.58.50.183:7001/rtp/225.1.4.77:1106$河南省联通
CCTV9,http://118.79.119.170:8000/rtp/226.0.2.161:9200$山西省联通
CCTV9,http://171.212.170.157:8088/rtp/239.94.0.9:5140$四川省电信
CCTV9,http://171.212.170.157:8088/rtp/239.94.2.32:5140$四川省电信
CCTV9,http://171.213.169.179:8899/rtp/239.94.0.9:5140$四川省电信
CCTV9,http://171.213.169.179:8899/rtp/239.94.2.32:5140$四川省电信
CCTV9,http://180.158.97.153:9998/rtp/233.18.204.75:5140$上海市电信
CCTV9,http://220.184.214.138:9999/rtp/233.50.200.23:5140$浙江省电信
CCTV9,http://222.141.237.151:8003/rtp/225.1.4.77:1106$河南省联通
CCTV9,http://27.10.78.144:8007/rtp/225.0.4.131:7980$重庆市联通
CCTV9,http://27.10.78.144:8008/rtp/225.0.4.131:7980$重庆市联通
CCTV9,http://27.10.78.144:8010/rtp/225.0.4.131:7980$重庆市联通
CCTV9,http://36.101.3.142:554/rtp/239.253.64.76:5140$海南省电信
CCTV9,http://39.77.159.145:4000/udp/239.253.254.79:8000$山东省联通
CCTV10,http://112.255.235.152:4000/udp/239.253.254.234:8000$山东省联通
CCTV10,http://115.58.50.183:7001/rtp/225.1.4.78:1107$河南省联通
CCTV10,http://118.79.119.170:8000/rtp/226.0.2.162:9208$山西省联通
CCTV10,http://171.212.170.157:8088/rtp/239.94.0.10:5140$四川省电信
CCTV10,http://171.212.170.157:8088/rtp/239.94.2.31:5140$四川省电信
CCTV10,http://171.213.169.179:8899/rtp/239.94.0.10:5140$四川省电信
CCTV10,http://171.213.169.179:8899/rtp/239.94.2.31:5140$四川省电信
CCTV10,http://180.158.97.153:9998/rtp/233.18.204.76:5140$上海市电信
CCTV10,http://220.184.214.138:9999/rtp/233.50.200.22:5140$浙江省电信
CCTV10,http://222.141.237.151:8003/rtp/225.1.4.78:1107$河南省联通
CCTV10,http://27.10.78.144:8007/rtp/225.0.4.130:7980$重庆市联通
CCTV10,http://27.10.78.144:8008/rtp/225.0.4.130:7980$重庆市联通
CCTV10,http://27.10.78.144:8010/rtp/225.0.4.130:7980$重庆市联通
CCTV10,http://36.101.3.142:554/rtp/239.253.64.87:5140$海南省电信
CCTV10,http://39.77.159.145:4000/udp/239.253.254.234:8000$山东省联通
CCTV11,http://112.255.235.152:4000/udp/239.253.254.169:8000$山东省联通
CCTV11,http://115.58.50.183:7001/rtp/225.1.4.215:1268$河南省联通
CCTV11,http://171.212.170.157:8088/rtp/239.94.0.11:5140$四川省电信
CCTV11,http://171.212.170.157:8088/rtp/239.94.0.36:5140$四川省电信
CCTV11,http://171.213.169.179:8899/rtp/239.94.0.11:5140$四川省电信
CCTV11,http://171.213.169.179:8899/rtp/239.94.0.36:5140$四川省电信
CCTV11,http://180.158.97.153:9998/rtp/233.18.204.77:5140$上海市电信
CCTV11,http://220.184.214.138:9999/rtp/233.50.200.132:5140$浙江省电信
CCTV11,http://222.141.237.151:8003/rtp/225.1.4.215:1268$河南省联通
CCTV11,http://27.10.78.144:8007/rtp/225.0.4.218:7980$重庆市联通
CCTV11,http://27.10.78.144:8008/rtp/225.0.4.218:7980$重庆市联通
CCTV11,http://27.10.78.144:8010/rtp/225.0.4.218:7980$重庆市联通
CCTV11,http://36.101.3.142:554/rtp/239.253.64.70:5140$海南省电信
CCTV11,http://39.77.159.145:4000/udp/239.253.254.169:8000$山东省联通
CCTV12,http://112.255.235.152:4000/udp/239.253.254.235:8000$山东省联通
CCTV12,http://115.58.50.183:7001/rtp/225.1.4.79:1108$河南省联通
CCTV12,http://118.79.119.170:8000/rtp/226.0.2.164:9224$山西省联通
CCTV12,http://171.212.170.157:8088/rtp/239.94.0.12:5140$四川省电信
CCTV12,http://171.213.169.179:8899/rtp/239.94.0.12:5140$四川省电信
CCTV12,http://180.158.97.153:9998/rtp/233.18.204.78:5140$上海市电信
CCTV12,http://220.184.214.138:9999/rtp/233.50.200.21:5140$浙江省电信
CCTV12,http://222.141.237.151:8003/rtp/225.1.4.79:1108$河南省联通
CCTV12,http://27.10.78.144:8007/rtp/225.0.4.129:7980$重庆市联通
CCTV12,http://27.10.78.144:8008/rtp/225.0.4.129:7980$重庆市联通
CCTV12,http://27.10.78.144:8010/rtp/225.0.4.129:7980$重庆市联通
CCTV12,http://36.101.3.142:554/rtp/239.253.64.97:5140$海南省电信
CCTV12,http://39.77.159.145:4000/udp/239.253.254.235:8000$山东省联通
CCTV13,http://112.255.235.152:4000/udp/239.253.254.175:8000$山东省联通
CCTV13,http://115.58.50.183:7001/rtp/225.1.4.113:1293$河南省联通
CCTV13,http://118.79.119.170:8000/rtp/226.0.2.165:9232$山西省联通
CCTV13,http://171.212.170.157:8088/rtp/239.94.0.13:5140$四川省电信
CCTV13,http://171.212.170.157:8088/rtp/239.94.0.37:5140$四川省电信
CCTV13,http://171.213.169.179:8899/rtp/239.94.0.13:5140$四川省电信
CCTV13,http://171.213.169.179:8899/rtp/239.94.0.37:5140$四川省电信
CCTV13,http://180.158.97.153:9998/rtp/233.18.204.79:5140$上海市电信
CCTV13,http://220.184.214.138:9999/rtp/233.50.200.97:5140$浙江省电信
CCTV13,http://222.141.237.151:8003/rtp/225.1.4.113:1293$河南省联通
CCTV13,http://27.10.78.144:8007/rtp/225.0.4.219:7980$重庆市联通
CCTV13,http://27.10.78.144:8008/rtp/225.0.4.219:7980$重庆市联通
CCTV13,http://27.10.78.144:8010/rtp/225.0.4.219:7980$重庆市联通
CCTV13,http://36.101.3.142:554/rtp/239.253.64.59:5140$海南省电信
CCTV13,http://39.77.159.145:4000/udp/239.253.254.175:8000$山东省联通
CCTV14,http://112.255.235.152:4000/udp/239.253.254.236:8000$山东省联通
CCTV14,http://115.58.50.183:7001/rtp/225.1.4.80:1109$河南省联通
CCTV14,http://118.79.119.170:8000/rtp/226.0.2.166:9240$山西省联通
CCTV14,http://171.212.170.157:8088/rtp/239.94.0.14:5140$四川省电信
CCTV14,http://171.213.169.179:8899/rtp/239.94.0.14:5140$四川省电信
CCTV14,http://180.158.97.153:9998/rtp/233.18.204.80:5140$上海市电信
CCTV14,http://220.184.214.138:9999/rtp/233.50.200.103:5140$浙江省电信
CCTV14,http://222.141.237.151:8003/rtp/225.1.4.80:1109$河南省联通
CCTV14,http://27.10.78.144:8007/rtp/225.0.4.128:7980$重庆市联通
CCTV14,http://27.10.78.144:8008/rtp/225.0.4.128:7980$重庆市联通
CCTV14,http://27.10.78.144:8010/rtp/225.0.4.128:7980$重庆市联通
CCTV14,http://36.101.3.142:554/rtp/239.253.64.115:5140$海南省电信
CCTV14,http://39.77.159.145:4000/udp/239.253.254.236:8000$山东省联通
CCTV15,http://112.255.235.152:4000/udp/239.253.254.170:8000$山东省联通
CCTV15,http://115.58.50.183:7001/rtp/225.1.4.216:1269$河南省联通
CCTV15,http://171.212.170.157:8088/rtp/239.94.0.15:5140$四川省电信
CCTV15,http://171.212.170.157:8088/rtp/239.94.0.38:5140$四川省电信
CCTV15,http://171.213.169.179:8899/rtp/239.94.0.15:5140$四川省电信
CCTV15,http://171.213.169.179:8899/rtp/239.94.0.38:5140$四川省电信
CCTV15,http://180.158.97.153:9998/rtp/233.18.204.81:5140$上海市电信
CCTV15,http://220.184.214.138:9999/rtp/233.50.200.133:5140$浙江省电信
CCTV15,http://222.141.237.151:8003/rtp/225.1.4.216:1269$河南省联通
CCTV15,http://27.10.78.144:8007/rtp/225.0.4.220:7980$重庆市联通
CCTV15,http://27.10.78.144:8008/rtp/225.0.4.220:7980$重庆市联通
CCTV15,http://27.10.78.144:8010/rtp/225.0.4.220:7980$重庆市联通
CCTV15,http://36.101.3.142:554/rtp/239.253.64.72:5140$海南省电信
CCTV15,http://39.77.159.145:4000/udp/239.253.254.170:8000$山东省联通
CCTV16,http://115.58.50.183:7001/rtp/225.1.5.46:1356$河南省联通
CCTV16,http://118.79.119.170:8000/rtp/226.0.2.169:9264$山西省联通
CCTV16,http://180.158.97.153:9998/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://180.158.97.153:9998/rtp/233.18.204.215:5140$上海市电信
CCTV16,http://180.158.97.153:9998/rtp/233.18.204.82:5140$上海市电信
CCTV16,http://220.184.214.138:9999/rtp/233.50.201.192:5140$浙江省电信
CCTV16,http://222.141.237.151:8003/rtp/225.1.5.46:1356$河南省联通
CCTV16,http://36.101.3.142:554/rtp/239.253.64.251:5140$海南省电信
CCTV17,http://112.255.235.152:4000/udp/239.253.254.168:8000$山东省联通
CCTV17,http://115.58.50.183:7001/rtp/225.1.4.226:2506$河南省联通
CCTV17,http://118.79.119.170:8000/rtp/226.0.2.170:9272$山西省联通
CCTV17,http://171.212.170.157:8088/rtp/239.94.0.17:5140$四川省电信
CCTV17,http://171.212.170.157:8088/rtp/239.94.0.39:5140$四川省电信
CCTV17,http://171.213.169.179:8899/rtp/239.94.0.17:5140$四川省电信
CCTV17,http://171.213.169.179:8899/rtp/239.94.0.39:5140$四川省电信
CCTV17,http://180.158.97.153:9998/rtp/233.18.204.83:5140$上海市电信
CCTV17,http://220.184.214.138:9999/rtp/233.50.200.113:5140$浙江省电信
CCTV17,http://222.141.237.151:8003/rtp/225.1.4.226:2506$河南省联通
CCTV17,http://27.10.78.144:8007/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://27.10.78.144:8008/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://27.10.78.144:8010/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://36.101.3.142:554/rtp/239.253.64.67:5140$海南省电信
CCTV17,http://39.77.159.145:4000/udp/239.253.254.168:8000$山东省联通
